n=10, k=20, numdec=10^-4 
randomized distance=0, randomized thetas=0, isoprob=0 
Exhaustive listing of all NDPs: 
(-20, 20),
(-16.8937, 16.8937),
(-16.8937, 14.3382),
(-14.3382, 14.3382),
(-12.5273, 12.5273),
(-12.5273, 9.9719),
(-9.9719, 9.9719),
(-9.8308, 9.8308),
(-9.8308, 7.2754),
(-7.2754, 7.2754),
(-6.048, 6.048),
(-6.048, 3.4926),
(-3.4926, 3.4926),
(-1.5543, 1.5543),
(-1.5543, -1.0011),
(1.0011, -1.0011),
(1.8627, -1.8627),
(1.8627, -4.4181),
(4.4181, -4.4181),
(5.6817, -5.6817),
(5.6817, -8.2371),
(8.2371, -8.2371),
(8.3691, -8.3691),
(8.3691, -10.9245),
(10.9245, -10.9245),
(13.1529, -13.1529),
(13.1529, -15.7083),
(15.7083, -15.7083),
(16.2621, -16.2621),
(16.2621, -18.8175),
(18.8175, -18.8175),
(20, -20)
Thetas: 
(1, 0)
